Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Aruba,ABW,,0,0,,"0,635029788",100,"31902,7626","59,9","63,565","0,2976","43,01591",,412,
Africa Eastern and Southern,AFE,"7,121663119",0,0,"8,809289932","2,087765413","44,3897728","1499,95444","9,4","79,282","1,7495","4,204461",,-187410,
Afghanistan,AFG,"11,085","47,6687",0,,"3,911603419","97,7","500,522981","23,5","76,474","3,9944","87,15213",,-8082,"2,85"
Africa Western and Central,AFW,"4,2614142",0,0,"9,889590263","3,212407147","51,160817","1810,53801",..,..,..,..,,-328552,
Angola,AGO,"9,481",0,0,"11,06135941","-0,70227296","45,6338806","2142,23876",3,..,"6,2872",..,,58986,"3,72"
Albania,ALB,"11,47","86,78755","94,576125","62,07609177","2,087711996",100,"5396,21423",75,"62,448","0,7536","0,476824",,-8889,"5,89"
Andorra,AND,,0,0,15,"2,015547638",100,"41328,6005","6,6","78,691","5,5256","8,461538",,1238,
Arab World,ARB,"10,16515832","62,8005","83,64325","33,01842117","1,377703184","90,3528023","6498,52904","8,6","77,284","3,7420","12,90753",,139844,
United Arab Emirates,ARE,"2,33","44,9669","70,828925","46,48083115","1,108348135",100,"45376,1708","11,8","75,439","2,1966","41,76994",261,-4466,"2,76"
Argentina,ARG,"9,84","67,280325","74,445375","95,0775528","-2,000861",100,"9963,67423",..,"76,248",..,..,17866,4478,"7,02"
Armenia,ARM,"12,2",0,"91,901","53,30681992","7,599999999",100,"4828,50489","3,8","82,9","15,5957","2,140244","698,4",-25363,"5,54"
American Samoa,ASM,,0,0,,"-0,48780488",,"13672,5767","3,6","81,89512","7,2633","6,345455",,-1650,
Antigua and Barbuda,ATG,,"65,63265","71,013825",,"4,344059831",100,"18187,7797","20,4","73,102","3,5435","155,1448",,0,
Australia,AUS,"5,16","69,572975","72,5033","109,7595596","2,171396224",100,"54941,0657","23,4","71,205","6,4829",..,,235860,"9,09"
Austria,AUT,"4,49","65,271525","66,513425","86,32343292","1,517388583",100,"50070,4033","7,1","80,019","22,0634","3877,5",4968,41105,"8,29"
Azerbaijan,AZE,"4,85","22,13315","93,810875","31,54019928","2,500000067",100,"4805,75372","30,4","72,806","0,5597","34,1619","2139,87",392,"2,75"
Burundi,BDI,"0,871","29,227975","46,92005",,"1,812565324","9,83940029","216,972971","12,7","77,257","4,1661","87,5",,14241,"2,15"
Belgium,BEL,"5,36","70,6795","73,781475","79,30448151","2,261568321",100,"46641,7117","3,1","74,22683","6,1234","3,994118",3615,54395,"7,64"
Benin,BEN,"1,466","11,645125","48,561125","10,7973299","6,865687336","39,9980927","1170,96553","4,1","81,99512","8,0938","34,99167",,3363,"5,09"
Burkina Faso,BFA,"4,693","28,695625","74,916825","6,93696022","5,688115149","17,6","772,166878","12,3","73,931","1,8921","0,661861",518,-25277,"4,04"
