Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Aruba,ABW,,,,"18,43367958","2,116716123",100,"28451,2737","67,2","63,136","0,268359","43,01591",,170,
Africa Eastern and Southern,AFE,"6,855589378",,,"8,719650269","2,22452441","38,8514439","1436,0944","9,4","78,86","1,590069","4,05948",,-864708,
Afghanistan,AFG,"10,086","46,6585",,,"2,260314201","97,7","520,251955","24,9","75,732","3,833834","82,06633",,-90238,"2,55"
Africa Western and Central,AFW,"4,112957928",,,"9,473870277","0,125435032","50,9031082","1646,9724",..,..,..,..,,-167286,
Angola,AGO,"9,586",,,"9,660340309","-2,580111222","41,7850342","1709,51553","3,4",..,"6,465288",..,,91623,"3,4"
Albania,ALB,"15,42","86,4809","94,0569","59,27449036","3,314980684","99,89","4124,05539","84,4","61,092","1,012552","0,476824",,-10887,"5,91"
Andorra,AND,,,,"15,10890961","3,70967807",100,"39931,217","7,4","78,152","5,526479","8,461538",,1303,
Arab World,ARB,"10,76335878","62,5591","83,5107","29,90621948","3,688725251","89,5390161","6113,39774",11,"76,308","4,201816","12,90753",,3140,
United Arab Emirates,ARE,"1,64","87,0677","94,5518",,"5,56149076",100,"41054,5396","13,7","74,664","1,767966","46,3916",,-13520,"2,75"
Argentina,ARG,"8,109","89,8847","99,1017","86,61788177","-2,080327844","99,8997421","12790,2641",..,"75,617",..,..,17609,5215,"6,96"
Armenia,ARM,"12,426",,"92,2396","51,74600983","0,2","99,8","3679,95235","3,8","82,44878049","16,32033","2,159146","679,363",-26804,"3,88"
American Samoa,ASM,,,,,"-1,679389313",,"13300,8246","3,6","81,64146341","7,290777","6,345455",,-1641,
Antigua and Barbuda,ATG,,,,,"5,496459204",100,"15862,6517","24,5","72,004","3,303958","146,3709",,16,
Australia,AUS,"5,71","92,7695","96,6501","119,6827774","2,730547992",100,"49876,7124","13,8","73,537","5,153595",..,,242184,"9,01"
Austria,AUT,"6,01","87,3732","88,842","82,8496933","1,989437162",100,"45307,5879","7,3","79,557","21,49531","3877,5",4917,66282,"8,41"
Azerbaijan,AZE,5,,"94,9286","25,92642021","-3,09999988",100,"3880,68627",36,"71,09","0,507739","34,1619",2074,1484,"2,65"
Burundi,BDI,"1,315","32,1851",,"4,090069771","-0,600000909","8,47799873","242,539527","13,8","76,815","4,632243","87,5",,-109490,"2,4"
Belgium,BEL,"7,83","94,1176","98,2937","77,24350739","1,266686409",100,"42012,6227","3,9","73,82682927","5,829464","4,270588",3602,56781,"7,77"
Benin,BEN,"1,836",,,"12,36170959","3,339673426","37,0262756","1049,8203","4,1","81,43902439","8,31066","34,942",,3827,"5,67"
Burkina Faso,BFA,"4,44","28,1049","75,2086","5,426300049","5,957976708","16,5673962","665,786329","14,5","73,399","1,773147","0,661861",518,-7603,"4,7"
Bangladesh,BGD,"4,35","65,2198",,"17,40217972","7,113478213","75,92","1659,96249","95,6","59,539","0,598486","1,262136",2877,-55013,"5,73"
Bulgaria,BGR,"7,57","90,1047","87,5817","75,47485352","3,039825276","97,3378296","7574,19126",..,"80,608",..,..,4029,-14947,"7,01"
Bahrain,BHR,"1,181","93,075","96,2646","43,66530991","3,558128119",100,"22867,1811","31,9","70,602","1,638389","0,433205",,29052,"2,79"
"Bahamas, The",BHS,"12,7","66,6555","75,3574",,"-0,067012845",100,"29675,5359","30,2","67,628","1,893694","0,687974",,1001,
Bosnia and Herzegovina,BIH,"25,41",,,"48,66814041","3,242255212","99,9967117","4917,2637","6,2","76,808","6,422491","1,181972","1018,054",-32195,"4,87"
Belarus,BLR,"5,84","97,6084","96,0824","94,75534058","-2,525831409","98,0430069","5039,77603","43,5","65,464","2,818087","8,3875",5459,15258,"3,54"
Belize,BLZ,7,"72,0896","96,116","24,31962967","0,113122172","93,2606888","6148,70696","16,7","74,442","2,16126","1,171348",,1283,
Bermuda,BMU,,,,,"-0,657206304",100,"106885,878","12,3","75,724",..,..,,0,
Bolivia,BOL,"3,5","76,9402","88,8143",,"4,263920864","91,8","3013,50271","10,8","74,733","16,35821","1,082353",,-10071,"5,63"
Brazil,BRA,"11,74","82,3278","95,4714","48,33333969","-3,275916908","99,7","8680,73542","7,7","74,81219512","5,834419","27,09048",,82589,"6,9"
Barbados,BRB,"8,25","95,9634","95,4294",,"2,533024882",100,"17343,7254","97,7","59,326","0,207403","6,544",,-65,
Brunei Darussalam,BRN,"8,432","83,7965","93,7515","34,42285156","-2,477917718",100,"26762,0374","64,6","60,793","0,040538","2,784294",,-539,
Bhutan,BTN,"2,774","64,5416","87,5304",,"8,127033538","99,3227768","2879,54657","18,3","75,742","0,972253","8,433333",,-521,"4,93"
Botswana,BWA,"19,315",,,"23,28824997","7,201819029","64,2029648","6411,55167","30,3","70,224","0,708268","1,810945",886,3129,"7,87"
Central African Republic,CAF,"5,746",,,,"4,750316841","13,4048033","372,135456","84,3","60,233","0,378494","0,398681",,-52758,"1,61"
Canada,CAN,7,"99,3218","99,9559","69,50685883","1,001394414",100,"42315,6037","5,3","81,92487805","15,42182","1,26286","48498,4",320494,"9,15"
Central Europe and the Baltics,CEB,"6,490935952","89,6263","91,2322","63,48508835","2,750003798","99,6435965","12782,2222",..,..,..,..,,-110911,
Switzerland,CHE,"4,92","85,8282","93,5376","61,1939888","2,068689667",100,"82153,0745","112,7","53,46","0,042087","0,051418","4034,485",70637,"9,09"
Channel Islands,CHI,"8,118",,,,,100,"58093,9961","125,8","52,083","0,100727","5,864",,1180,
Chile,CHL,"6,73","88,9658","94,0068","88,84588623","1,753038749",100,"13785,6876",..,"81,366",..,..,,126525,"7,78"
China,CHN,"4,56",,,"49,70835876","6,848762205",100,"8094,39038","7,8","80,079","4,783526","3,996384",91675,-153054,"3,14"
Cote d'Ivoire,CIV,"1,9","34,6828","83,1699","9,092769623","7,17275964","64,3","1999,19537","9,9","77,218","7,10548","21,47321",639,-20148,"3,81"
Cameroon,CMR,"3,572","45,9935","94,493","12,4593401","4,535794236","59,7636642","1426,06548","15,1","76,471","1,753796","1,304585",1004,13251,"3,46"
"Congo, Dem. Rep.",COD,"4,479",,,"6,07901001","2,399398914","17,287302","456,027951",59,"63,237","0,292","0,833333",3641,173022,"1,93"
"Congo, Rep.",COG,"20,648",,,,"-10,78323827","45,2837257","1970,2502","93,4","59,066","0,029732","0,075956",,-14788,"2,91"
Colombia,COL,"8,69","76,2019","92,9966","57,14374924","2,087382502","98,4","5936,26102",51,"63,577","1,059916","0,020721",,79978,"6,67"
Comoros,COM,"8,082",,,,"3,320446562","76,3974609","1357,26623","8,9","79,459","1,619528","2,586469",,-1136,"3,71"
Cabo Verde,CPV,"12,002","71,5985","92,5937","21,05702019","4,280714827","87,5304184","3312,69676",88,"58,06","0,396203","1,512233",,-1408,"7,94"
Costa Rica,CRI,"8,09","82,5849","98,1841","52,13162994","4,204323252","99,5","11899,814","4,9","78,02195122","4,042978","1,766313",,4150,"7,88"
Caribbean small states,CSS,"8,540965999","73,7509","89,1806","22,47924995","-1,772659192","96,6941861","9769,46964","5,5","77,643","2,396083","18,25289",,-17915,
Cuba,CUB,2,"84,1842","94,4608","34,45679092","0,513761468","99,1772614","8055,88991",..,"77,7195122",..,..,,-14454,"3,46"
Curacao,CUW,,,,"18,32068825","-0,873007584",100,"18881,8306","2,7","81,056","6,026642","27,94872",,647,
Cayman Islands,CYM,,,,"31,58613205","3,239973614",100,"78858,2797","3,2","79,02682927","9,747754","12,43194",,1077,
Cyprus,CYP,"12,95","94,0932","96,7297","67,17111206","6,573580202",100,"24715,1426",4,"80,85365854","6,169734","14,78325",,4878,"7,65"
Czechia,CZE,"3,95","91,0042","88,7972","67,50563812","2,53728452",100,"18575,232","63,8","62,191","0,38648","6,333333","9462,687",-300,"7,82"
Germany,DEU,"4,12","85,4694","90,4174","67,94641113","2,229999868",100,"42136,1208","32,5","70,128","2,604352",10,33380,432017,"8,63"
Djibouti,DJI,"26,197",,"57,2456",,"7,123432337","59,8381195","2545,7388","35,1","72,987","2,336099","30,37021",,1623,"2,83"
Dominica,DMA,,"87,7357","95,4218",,"2,763647982","97,813858","8223,04145","14,8","76,763","2,420481","2,241365",,179,
Denmark,DNK,"5,99","89,8858","98,6936","82,17149353","3,245956985",100,"54663,9984","22,6","70,844","2,359353",6065,,22859,"9,2"
Dominican Republic,DOM,"7,28","68,8898","93,3284","54,53147888","6,659200263","98,9","7191,06971","14,8","72,025","1,139923","2,40627",,-30181,"6,67"
Algeria,DZA,"10,2",,"97,5908","44,10528946","3,2","99,4336929","3967,20066","90,6","60,479","4,167551","0,076154","3843,17",-36227,"3,56"
East Asia & Pacific (excluding high income),EAP,"4,036854986","78,6135",,"43,76501846","6,586304074","96,724898","6591,13641","44,9","66,289","0,172496","20,78571",,-77693,
Early-demographic dividend,EAR,"6,812702131","62,7773","90,4255","29,59412956","4,542804959","88,3718766","3264,72507","2,9","77,64146341","12,08947","13,7797",,-3227808,
East Asia & Pacific,EAS,"3,99788689","79,0102",,"46,59347916","4,670281015","97,0427749","9855,05982","61,8","56,659","0,976785","40,45455",,539479,
Europe & Central Asia (excluding high income),ECA,"7,555312477","88,2059","93,8271","69,7090683","1,577459056","99,6569364","7044,68473",59,"64,392","0,144807","8,647541",,442175,
Europe & Central Asia,ECS,"8,058713962","89,9378","95,881","69,15419006","1,937792206","99,8326379","22380,618",..,"82,04390244",..,..,,1586627,
Ecuador,ECU,"4,6","85,9227","91,6605",,"-1,226383985","98,7","6079,08874",25,"67,24","1,305137","0,297373",,27063,"5,81"
"Egypt, Arab Rep.",EGY,"12,45","80,7415","97,4561","31,93047905","4,346643456",100,"3331,61246","2,4","81,42926829","8,316248","2,149533",5153,4132,"3,31"
Euro area,EMU,"9,996105036","90,3882","97,5707","72,20516205","1,864024308",100,"35164,0648","4,2","82,57317073","4,703476","13,218",,781283,
Eritrea,ERI,"5,807",,,"3,009720087",,"46,8964424",,..,"82,488",..,..,,-55530,"2,37"
Spain,ESP,"19,64","94,942","98,7897","89,80677795","3,037774142",100,"26537,1595","48,4","65,802","3,059957","0,084817",15650,89021,"8,3"
Estonia,EST,"6,88","94,2014","93,484","73,03343201","3,155564814",100,"18295,3429","57,7","63,013","0,255998","3,386667",1034,1164,"7,85"
Ethiopia,ETH,"2,735",,,"9,9901371","9,433482658","42,9","705,617512","10,2","73,569","2,632753","2,732066",754,115812,"3,6"
European Union,EUU,"9,104986759","91,3218","96,9109","70,39279175","1,977188018","99,9176066","31175,2159","3,9","80,9902439","9,072972","22,84393",,788042,
Fragile and conflict affected situations,FCS,"5,709334787","36,8587","76,4251","14,98050976","2,396027668","54,1877754","1735,35625","53,1","63,89","0,492155","4,780858",,-1476682,
Finland,FIN,"8,82","95,9347","99,0559","89,32800293","2,811457767",100,"43814,0265",..,"81,702",..,..,5926,17210,"9,03"
Fiji,FJI,"4,32",,"96,7621",,"2,445651797","93,4159393","5368,43366","4,4","81,38780488","6,203487","17,47586",,-11139,"5,64"
France,FRA,"10,05","93,9558","98,8217","64,72767639","1,095464404",100,"37062,5336",..,"71,82512195",..,..,"29236,65",14729,"7,92"
Faroe Islands,FRO,,,,,"1,469915804",100,"56833,9144","16,3","74,762","2,312322","7,05",,537,
